RepRapFirmware height map file v2 generated at 2022-10-05 17:12, min error -0.201, max error 0.058, mean -0.059, deviation 0.059
axis0,axis1,min0,max0,min1,max1,radius,spacing0,spacing1,num0,num1
X,Y,15.00,225.00,15.00,235.00,-1.00,20.00,20.00,11,12
 -0.158, -0.171, -0.089, -0.056, -0.076, -0.050, -0.019, -0.021, -0.055, -0.043, -0.019
 -0.171, -0.161, -0.154, -0.129, -0.115, -0.089, -0.044, -0.048, -0.059, -0.087, -0.084
 -0.201, -0.174, -0.096, -0.142,  0.015, -0.084, -0.100, -0.050, -0.099, -0.074, -0.105
 -0.175, -0.170, -0.135, -0.109, -0.104, -0.072, -0.086, -0.089, -0.086, -0.050, -0.056
 -0.165, -0.100, -0.092, -0.082, -0.050, -0.022, -0.060, -0.004, -0.016, -0.036, -0.044
 -0.156, -0.097, -0.054, -0.087, -0.017,  0.046,  0.016,  0.004, -0.025, -0.050, -0.024
 -0.097, -0.048, -0.045, -0.015, -0.022, -0.014, -0.008, -0.006, -0.007, -0.015, -0.025
 -0.077, -0.049, -0.041,  0.039,  0.015,  0.049,  0.028,  0.017, -0.010,  0.028, -0.001
 -0.105, -0.056, -0.044, -0.012,  0.020,  0.058, -0.101,  0.025,  0.031,  0.039, -0.010
 -0.095, -0.058, -0.050, -0.020,  0.035,  0.055,  0.014, -0.001, -0.001, -0.001,  0.023
 -0.156, -0.097, -0.087, -0.062, -0.025, -0.017, -0.019, -0.022, -0.051, -0.079, -0.024
 -0.175, -0.173, -0.141, -0.101, -0.101, -0.085, -0.067, -0.126, -0.107, -0.112, -0.105
